record_id,ticker,query_session_date,predicted_movement,historical_rank,historical_article_id,historical_session_date,historical_source_url,historical_movement_label,historical_reaction_return,text_similarity,candidate_scope,retrieval_rule
90,MSFT,2019-11-11,Flat,1,e02103b7becedf4e74265c21,2018-11-09,https://www.sec.gov/Archives/edgar/data/789019/000120919118057851/xslFormDX01/primary_doc.xml,Down,-0.0195078299783176,0.49703729609237,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
90,MSFT,2019-11-11,Flat,2,09a9ea58c97e7f5d31df7c79,2016-07-27,https://www.sec.gov/Archives/edgar/data/789019/000119312516658251/d207988d8a12b.htm,Down,-0.0100422832971135,0.46151766871656175,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
90,MSFT,2019-11-11,Flat,3,e5048c5715d81c792f096e5f,2018-01-26,https://www.sec.gov/Archives/edgar/data/789019/000000000018002745/filename1.pdf,Up,0.0187371385248291,0.37291608222206796,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
90,MSFT,2019-11-11,Flat,4,b42a00441673eac97cfcafdb,2017-12-15,https://www.sec.gov/Archives/edgar/data/789019/000000000017043686/filename1.pdf,Up,0.0255047821474283,0.37291608222206796,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
90,MSFT,2019-11-11,Flat,5,a9117ea2978eb5d9b74c811c,2017-12-21,https://www.sec.gov/Archives/edgar/data/789019/000119312517375054/filename1.htm,Flat,-0.0002338634236495,0.3590522098700119,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
91,AMD,2019-11-12,Up,1,25e1e8fb00500fcce07b53bb,2015-02-18,https://www.sec.gov/Archives/edgar/data/2488/000119312515051437/d876597d8ka.htm,Down,-0.0096463022508037,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
91,AMD,2019-11-12,Up,2,4fc2fea3cb511bf6d4618acd,2016-09-15,https://www.sec.gov/Archives/edgar/data/2488/000119312516709676/d258400d8k.htm,Flat,-0.0033112582781458,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
91,AMD,2019-11-12,Up,3,d61564774d95c62564e8f250,2017-02-01,https://www.sec.gov/Archives/edgar/data/2488/000000248817000017/a20170131q416earnings8-k.htm,Up,0.1629701060752171,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
91,AMD,2019-11-12,Up,4,e0ae6b64e83057e0d21ce3cd,2019-05-01,https://www.sec.gov/Archives/edgar/data/2488/000000248819000043/a20190430q119earnings8-k.htm,Down,-0.0296778863554108,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
91,AMD,2019-11-12,Up,5,b98365cf3d2d99e655105e0b,2017-02-22,https://www.sec.gov/Archives/edgar/data/2488/000000248817000041/amd-form8xk2016eip022117fi.htm,Up,0.02,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
92,AAPL,2019-11-15,Flat,1,c16be9c8873e9d0dd72c1029,2019-03-15,https://www.sec.gov/Archives/edgar/data/320193/000135445719000130/AAPL_Cert.pdf,Up,0.0130082185817443,0.6985866889331054,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
92,AAPL,2019-11-15,Flat,2,1b55d4f27c6056c5b24d32f5,2019-03-15,https://www.sec.gov/Archives/edgar/data/320193/000119312519074868/d720211d8a12b.htm,Up,0.0130082185817443,0.48480226751800154,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
92,AAPL,2019-11-15,Flat,3,936547fd671cb2b8328d77c0,2016-01-15,https://www.sec.gov/Archives/edgar/data/320193/000121465916008862/m112160px14a6g.htm,Down,-0.0240152733136586,0.35614322589430086,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
92,AAPL,2019-11-15,Flat,4,ac63256eb82faf1b5037f7d1,2015-03-05,https://www.sec.gov/Archives/edgar/data/320193/000000000015013496/filename1.pdf,Down,-0.0165707172860606,0.35614322589430086,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
92,AAPL,2019-11-15,Flat,5,0486ec3657f10e03e6548620,2015-09-10,https://www.sec.gov/Archives/edgar/data/320193/000000000015044866/filename1.pdf,Up,0.021970040854587,0.35614322589430086,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
93,INTC,2019-11-15,Flat,1,7a52df382c8a34ac41ca33da,2019-05-09,https://www.sec.gov/Archives/edgar/data/50863/000119312519142117/d741646d8k.htm,Down,-0.0532087733538912,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
93,INTC,2019-11-15,Flat,2,110401803fd1d7e82910d933,2018-04-27,https://www.sec.gov/Archives/edgar/data/50863/000119312518135608/d573091ds4.htm,Down,-0.0060320452387516,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
93,INTC,2019-11-15,Flat,3,0774a07b36bb780162f1a672,2018-04-27,https://www.sec.gov/Archives/edgar/data/50863/000005086318000012/q1-2018_form8xk.htm,Down,-0.0060320452387516,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
93,INTC,2019-11-15,Flat,4,717e0adfe21234232188cccf,2018-03-19,https://www.sec.gov/Archives/edgar/data/50863/000119312518086793/d518999d8k.htm,Down,-0.0066445182719721,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
93,INTC,2019-11-15,Flat,5,688c720de21dd8be39fd2c26,2017-03-07,https://www.sec.gov/Archives/edgar/data/50863/000119312517071591/d338785d8k.htm,Up,0.0064661231377098,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
